Message,Category,Urgency
"Small puddle forming on walkway after a light drizzle, easily avoidable.","Flood","Low"
"Slight water buildup near the park curb after rain, dries within an hour.","Flood","Low"
"Water retention in the garden path during showers, no disruption to walkers.","Flood","Low"
"Puddle on the edge of the alleyway, pedestrians have to step around it.","Flood","Low"
"Minor water stagnation on the sidewalk near 10th street.","Flood","Low"
"Water pooling along the curb on 3rd Avenue, cars need to slow down to avoid splashing.","Flood","Medium"
"Rainwater is not receding from the market lane, reaching ankle depth in low spots.","Flood","Medium"
"Street corner is flooded with 4 inches of water, slowing down evening traffic.","Flood","Medium"
"Water accumulating in the apartment driveway after moderate rainfall.","Flood","Medium"
"Water stagnation in the school parking lot, making it difficult for parents to pick up kids.","Flood","Medium"
"Heavy stormwater has flooded the entire residential street, entering garages and ground floor compounds.","Flood","High"
"Water level is over one foot deep on main road, several cars have broken down and traffic is blocked.","Flood","High"
"Stormwater canal overflowing into nearby colony, water entering basements and destroying property.","Flood","High"
"Continuous rain caused flash water surge in low-lying residential sector, water entered living rooms.","Flood","High"
"Severe street flooding has trapped several elderly residents in their homes, water level rising rapidly.","Flood","High"
"Severe flash flood submerged ground floor houses completely, elderly people and children stranded on roofs, immediate rescue boat needed!","Flood","Critical"
"River wall breached and torrential flood waters entering residential neighborhood, people trapped inside collapsing structures!","Flood","Critical"
"Rapidly rising flood waters have submerged the local hospital emergency entrance, patients need immediate evacuation!","Flood","Critical"
"Dam water release has flooded our entire village, water is chest deep and currents are strong, lives in extreme danger!","Flood","Critical"
"Massive flood water gushing through community shelter, electricity cutoff, people clinging to trees and poles for life!","Flood","Critical"
"A few empty soda cans and plastic snack wrappers left near the park bench.","Waste","Low"
"A single discarded cardboard box left on the sidewalk by the grocery store.","Waste","Low"
"Some dry leaves and a paper coffee cup lying on the corner of 5th street.","Waste","Low"
"A couple of plastic bottles scattered on the grass near the community center.","Waste","Low"
"Slight litter near the public bus shelter, needs regular sweeping.","Waste","Low"
"Public dustbin at the bus stop is full and starting to spill over slightly onto the pavement.","Waste","Medium"
"Garbage collector did not come to our street today, household bags left on curbs.","Waste","Medium"
"Recycling bin in the local park is overflowing with plastic containers and needs clearing.","Waste","Medium"
"Waste disposal bin near the vegetable market has not been emptied for two consecutive days.","Waste","Medium"
"Green waste and tree branches piled up on the roadside after pruning, obstructing parking.","Waste","Medium"
"Huge heap of rotten municipal waste accumulating at street corner for a week, terrible stench and stray dogs everywhere.","Waste","High"
"Illegal dumping of commercial kitchen waste and animal bones attracting vultures and rodents near residential apartments.","Waste","High"
"Garbage dump on 7th Cross is rotting in the sun, creating severe foul smell and causing nausea among residents.","Waste","High"
"Commercial restaurant is dumping black bags of spoiled wet waste into the public lane every night.","Waste","High"
"Mountain of uncollected garbage blocking half the road, swarms of flies and mosquitoes invading nearby homes.","Waste","High"
"Hospital medical biohazard waste including used syringes, bloody bandages, and needles dumped openly next to school playground!","Waste","Critical"
"Hazardous industrial battery acid containers and toxic chemical barrels dumped in community playground, children playing nearby!","Waste","Critical"
"Illegal dumping of toxic asbestos sheets and broken chemical containers releasing sharp fibers near kindergarten!","Waste","Critical"
"Infectious medical waste bags ripped open by stray animals, needles scattered across primary school footpath!","Waste","Critical"
"Toxic flammable waste dumped and smoldering near residential gas cylinder storage facility, immediate fire hazard!","Waste","Critical"
"White lane marking paint on 2nd cross road is faded and hard to see at night.","Road","Low"
"Small scratch on the asphalt surface near the crosswalk, no vehicle impact.","Road","Low"
"Street sign slightly crooked on 4th lane, needs minor realignment.","Road","Low"
"Minor surface roughness on the residential lane, vehicles can still drive comfortably.","Road","Low"
"Curb paint faded near the no-parking zone outside the local library.","Road","Low"
"Small pothole developing near the bus stop, causes bumpy ride for cyclists.","Road","Medium"
"Speed breaker markings are completely worn off, cars scrape bottom if speeding.","Road","Medium"
"Gravel scattered loosely across the curve on Hill Road, making two-wheelers skid slightly.","Road","Medium"
"Uneven asphalt patch on 12th Main Road causing vehicle jerks during commute.","Road","Medium"
"Manhole cover is slightly uneven with road level, creates jarring thud when cars pass.","Road","Medium"
"Deep dangerous pothole on the middle of Main Arterial Road, several bikes have crashed and riders injured.","Road","High"
"Large crater formed on highway flyover ramp, vehicles swerving erratically into oncoming lanes to avoid it.","Road","High"
"Sharp metal expansion joint protruding 3 inches out of bridge road surface, tearing tires of passing cars.","Road","High"
"Road surface completely eroded after rains, deep trenches causing heavy traffic jams and vehicle axle damage.","Road","High"
"Unmarked open excavation trench left on unlit road without barricades, multiple two-wheeler accidents tonight.","Road","High"
"Catastrophic road cave-in! A massive 15-foot sinkhole swallowed a moving car on the central highway, road collapsing further!","Road","Critical"
